I_y,PF,e_PF,I_f
3,0.66,0.34,1.563
3,0.68,0.32,1.552
3,0.7,0.3,1.54
3,0.72,0.28,1.518
3,0.74,0.26,1.497
3,0.76,0.24,1.481
3,0.78,0.22,1.47
3,0.8,0.2,1.46
3,0.82,0.18,1.43
3,0.84,0.16,1.401
3,0.86,0.14,1.372
3,0.88,0.12,1.345
3,0.9,0.1,1.318
3,0.92,0.08,1.278
3,0.94,0.06,1.237
3,0.96,0.04,1.217
3,0.98,0.02,1.217
3,1,0,1.217
3.1,0.66,0.34,1.577
3.1,0.68,0.32,1.594
3.1,0.7,0.3,1.622
3.1,0.72,0.28,1.549
3.1,0.74,0.26,1.565
3.1,0.76,0.24,1.49
3.1,0.78,0.22,1.505
3.1,0.8,0.2,1.529
3.1,0.82,0.18,1.45
3.1,0.84,0.16,1.457
3.1,0.86,0.14,1.373
3.1,0.88,0.12,1.38
3.1,0.9,0.1,1.396
3.1,0.92,0.08,1.298
3.1,0.94,0.06,1.304
3.1,0.96,0.04,1.319
3.1,0.98,0.02,1.319
3.1,1,0,1.319
3.2,0.66,0.34,1.573
3.2,0.68,0.32,1.589
3.2,0.7,0.3,1.616
3.2,0.72,0.28,1.541
3.2,0.74,0.26,1.557
3.2,0.76,0.24,1.486
3.2,0.78,0.22,1.498
3.2,0.8,0.2,1.518
3.2,0.82,0.18,1.438
3.2,0.84,0.16,1.446
3.2,0.86,0.14,1.363
3.2,0.88,0.12,1.369
3.2,0.9,0.1,1.382
3.2,0.92,0.08,1.282
3.2,0.94,0.06,1.29
3.2,0.96,0.04,1.298
3.2,0.98,0.02,1.298
3.2,1,0,1.298
3.3,0.66,0.34,1.569
3.3,0.68,0.32,1.585
3.3,0.7,0.3,1.61
3.3,0.72,0.28,1.535
3.3,0.74,0.26,1.549
3.3,0.76,0.24,1.483
3.3,0.78,0.22,1.492
3.3,0.8,0.2,1.508
3.3,0.82,0.18,1.43
3.3,0.84,0.16,1.435
3.3,0.86,0.14,1.354
3.3,0.88,0.12,1.361
3.3,0.9,0.1,1.368
3.3,0.92,0.08,1.271
3.3,0.94,0.06,1.275
3.3,0.96,0.04,1.278
3.3,0.98,0.02,1.278
3.3,1,0,1.278
3.4,0.66,0.34,1.565
3.4,0.68,0.32,1.582
3.4,0.7,0.3,1.604
3.4,0.72,0.28,1.525
3.4,0.74,0.26,1.541
3.4,0.76,0.24,1.479
3.4,0.78,0.22,1.486
3.4,0.8,0.2,1.497
3.4,0.82,0.18,1.418
3.4,0.84,0.16,1.425
3.4,0.86,0.14,1.344
3.4,0.88,0.12,1.35
